rank_overall,taxon_id,us_obs_count,iconic_taxon,common_name,scientific_name
1,145308,79234,Aves,Lesser Goldfinch,Spinus psaltria
2,3751,78117,Aves,White Ibis,Eudocimus albus
3,4246,70223,Aves,Pied-billed Grebe,Podilymbus podiceps
4,506118,69929,Aves,California Scrub-Jay,Aphelocoma californica
5,49972,69340,Insecta,Pipevine Swallowtail,Battus philenor
6,49348,69294,Insecta,White-lined Sphinx,Hyles lineata
7,12937,62555,Aves,Western Bluebird,Sialia mexicana
8,144814,62032,Aves,Carolina Chickadee,Poecile carolinensis
9,508048,60349,Aves,Sandhill Crane,Antigone canadensis
10,47919,58543,Insecta,Polyphemus Moth,Antheraea polyphemus
11,68244,57156,Insecta,Variegated Fritillary,Euptoieta claudia
12,73044,54549,Aves,California Towhee,Melozone crissalis
13,48987,52675,Insecta,Convergent Lady Beetle,Hippodamia convergens
14,51743,52247,Insecta,Queen,Danaus gilippus
15,121612,50813,Insecta,Salt Marsh Moth,Estigmene acrea
16,49591,49159,Actinopterygii,Bluegill,Lepomis macrochirus
17,67731,47239,Insecta,Common Green Darner,Anax junius
18,8234,44352,Aves,Steller's Jay,Cyanocitta stelleri
19,2969,43602,Aves,Eurasian Collared-Dove,Streptopelia decaocto
20,43115,43097,Mammalia,Desert Cottontail,Sylvilagus audubonii
21,1456562,41154,Insecta,Great Spangled Fritillary,Argynnis cybele
22,480298,40814,Mollusca,Garden Snail,Cornu aspersum
23,34435,38918,Reptilia,Mediterranean House Gecko,Hemidactylus turcicus
24,17009,38813,Aves,Say's Phoebe,Sayornis saya
25,85034,37684,Arachnida,Spotted Orbweaver,Neoscona crucifera
26,50147,35894,Insecta,Halloween Pennant,Celithemis eponina
27,1409,35715,Aves,California Quail,Callipepla californica
28,1986,35490,Aves,Greater Roadrunner,Geococcyx californianus
29,63028,35385,Insecta,Giant Leopard Moth,Hypercompe scribonia
30,27818,35216,Amphibia,California Newt,Taricha torosa
31,48550,34732,Insecta,Cloudless Sulphur,Phoebis sennae
32,70421,34581,Amphibia,Blanchard's Cricket Frog,Acris blanchardi
33,68138,34367,Insecta,Variegated Meadowhawk,Sympetrum corruptum
34,60839,34351,Insecta,Virginian Tiger Moth,Spilosoma virginica
35,36094,34275,Reptilia,Common Side-blotched Lizard,Uta stansburiana
36,7576,33890,Aves,Bewick's Wren,Thryomanes bewickii
37,118552,33610,Mammalia,Domestic Cat,Felis catus
38,12024,33452,Aves,Loggerhead Shrike,Lanius ludovicianus
39,58561,32510,Insecta,American Snout,Libytheana carinenta
40,9185,32371,Aves,Golden-crowned Sparrow,Zonotrichia atricapilla
41,41740,31698,Mammalia,California Sea Lion,Zalophus californianus
42,1668923,30996,Amphibia,Gray Treefrog,Dryophytes versicolor
43,204114,30641,Mammalia,Elk,Cervus canadensis
44,59119,30629,Insecta,Checkered White,Pontia protodice
45,466003,30562,Insecta,Eastern Lubber Grasshopper,Romalea microptera
46,40085,29962,Reptilia,Gopher Tortoise,Gopherus polyphemus
47,82117,29773,Arachnida,Dark Fishing Spider,Dolomedes tenebrosus
48,42076,29673,Mammalia,Gray Fox,Urocyon cinereoargenteus
49,67439,29410,Insecta,Sleepy Orange,Eurema nicippe
50,18204,29314,Aves,Red-headed Woodpecker,Melanerpes erythrocephalus
51,27459,28692,Amphibia,California Slender Salamander,Batrachoseps attenuatus
52,26575,28642,Reptilia,Ring-necked Snake,Diadophis punctatus
